"","simplerate"
"2018-01-03",-0.000174149546445788
"2018-01-04",0.00464496904476502
"2018-01-05",0.0113853147511143
"2018-01-08",-0.00371425142857139
"2018-01-09",-0.000114734725044977
"2018-01-10",-0.000229501517472579
"2018-01-11",0.00568022284561107
"2018-01-12",0.0103263179502871
"2018-01-16",-0.00508212784645396
"2018-01-17",0.0165162833700406
"2018-01-18",0.000893294219096765
"2018-01-19",-0.00446272465867252
"2018-01-22",-0.00818114391310088
"2018-01-23",0.000225949152542428
"2018-01-24",-0.0159285591476498
"2018-01-25",-0.0178509928948972
"2018-01-26",0.00233764243856204
"2018-01-29",-0.0206984321817513
"2018-01-30",-0.00589429601536033
"2018-01-31",0.00275493799631707
"2018-02-01",0.00209046177287965
"2018-02-02",-0.0433901480712251
"2018-02-05",-0.0249843925233645
"2018-02-06",0.0417917681068513
"2018-02-07",-0.0214071399215306
"2018-02-08",-0.0275166051937837
"2018-02-09",0.0081212378261516
"2018-02-12",0.0402787727056129
"2018-02-13",0.0100177550849717
"2018-02-14",0.0184373802710813
"2018-02-15",0.0335783603267719
"2018-02-16",-0.00323725061456586
"2018-02-20",-0.00336360855735805
"2018-02-21",-0.00453883603588587
"2018-02-22",0.00835910996367701
"2018-02-23",0.0173913043478261
"2018-02-26",0.0197720854700854
"2018-02-27",-0.00324077776587825
"2018-02-28",-0.00151356018562453
"2018-03-01",-0.017516253579504
"2018-03-02",0.00691432571428566
"2018-03-05",0.00346177842215291
"2018-03-06",-0.000848371191389057
"2018-03-07",-0.00928283816474594
"2018-03-08",0.0109124322168338
"2018-03-09",0.0171809311949709
"2018-03-12",0.00966776885582327
"2018-03-13",-0.00963020025517169
"2018-03-14",-0.00850141129909759
"2018-03-15",0.0011768213273165
"2018-03-16",-0.0035263925057842
"2018-03-19",-0.0152791873884016
"2018-03-20",-0.000342258978740618
"2018-03-21",-0.0226546501182763
"2018-03-22",-0.0141297246656221
"2018-03-23",-0.023156670779153
"2018-03-26",0.0474718194801526
"2018-03-27",-0.0256410713517144
"2018-03-28",-0.0110490676262105
"2018-03-29",0.00780876400309382
"2018-04-02",-0.00655624035377428
"2018-04-03",0.0102592156936315
"2018-04-04",0.0191222876603261
"2018-04-05",0.00693433945029808
"2018-04-06",-0.0255786916855551
"2018-04-09",0.00991803035045635
"2018-04-10",0.0188179767335846
"2018-04-11",-0.00467531313131317
"2018-04-12",0.00985848399607416
"2018-04-13",0.00338806134942042
"2018-04-16",0.0062382591710241
"2018-04-17",0.0137640649735612
"2018-04-18",-0.00224421560131791
"2018-04-19",-0.0283400422478642
"2018-04-20",-0.0409722330849728
"2018-04-23",-0.00289642769191149
"2018-04-24",-0.0139191656403061
"2018-04-25",0.00435738303231394
"2018-04-26",0.00348308598165915
"2018-04-27",-0.0115698087226293
"2018-04-30",0.0181122959167935
"2018-05-01",0.0232361800567645
"2018-05-02",0.0441750486986972
"2018-05-03",0.00181226701769336
"2018-05-04",0.0392334390821045
"2018-05-07",0.00723495613082776
"2018-05-08",0.00480664820033174
"2018-05-09",0.00704110711570377
"2018-05-10",0.0143039708886423
"2018-05-11",-0.00762995713223372
"2018-05-14",-0.00233311421248464
"2018-05-15",-0.00908845099405105
"2018-05-16",0.00933271283702305
"2018-05-17",-0.00632366906294868
"2018-05-18",-0.00363659544262801
"2018-05-21",0.00708500356486507
"2018-05-22",-0.00250493517814501
"2018-05-23",0.00641161024980543
"2018-05-24",-0.00111492354472869
"2018-05-25",0.00228545316881602
"2018-05-29",-0.00360593908573622
"2018-05-30",-0.00212876004668735
"2018-05-31",-0.00336002666666673
"2018-06-01",0.0180339813248243
"2018-06-04",0.00835784776183122
"2018-06-05",0.00771514353630669
"2018-06-06",0.0034659252337274
"2018-06-07",-0.0026806320791965
"2018-06-08",-0.00909753921387997
"2018-06-11",-0.00245175277702272
"2018-06-12",0.00549078607939731
"2018-06-13",-0.00821719371862493
"2018-06-14",0.000524415320258278
"2018-06-15",-0.0102725732137436
"2018-06-18",-0.000529501176223373
"2018-06-19",-0.016159812012297
"2018-06-20",0.00436209807354091
"2018-06-21",-0.0055763699731904
"2018-06-22",-0.00291172748634695
"2018-06-25",-0.0148712958562762
"2018-06-26",0.0124059670901462
"2018-06-27",-0.00146391048228262
"2018-06-28",0.00727625961606742
"2018-06-29",-0.00210242048517514
"2018-07-02",0.0111824968333288
"2018-07-03",-0.0174163645790926
"2018-07-05",0.00804695528541709
"2018-07-06",0.0138619583774097
"2018-07-09",0.0138851996920509
"2018-07-10",-0.00120682126973637
"2018-07-11",-0.0129761015085022
"2018-07-12",0.0167659884829149
"2018-07-13",0.00157044967581246
"2018-07-16",-0.00219514971833859
"2018-07-17",0.00282852123349183
"2018-07-18",-0.0054844764505272
"2018-07-19",0.00777316726175957
"2018-07-20",-0.0022931154290934
"2018-07-23",0.000888001453322271
"2018-07-24",0.00725431341133383
"2018-07-25",0.00943008808290157
"2018-07-26",-0.00313109525758314
"2018-07-27",-0.0166315374263901
"2018-07-30",-0.00560263913713776
"2018-07-31",0.00200088985306968
"2018-08-01",0.0589101235607276
"2018-08-02",0.02923076426799
"2018-08-03",0.00289312890155329
"2018-08-06",0.00519256682550687
"2018-08-07",-0.00937487891316707
"2018-08-08",0.000675964460064818
"2018-08-09",0.00786492159227991
"2018-08-10",-0.00646306955038615
"2018-08-13",0.00645687855469987
"2018-08-14",0.00421317097269051
"2018-08-15",0.00233613825983312
"2018-08-16",0.0146499330610271
"2018-08-17",0.0199699740306122
"2018-08-20",-0.00974351953540297
"2018-08-21",-0.00194938265271652
"2018-08-22",4.65494806819217e-05
"2018-08-23",0.00204604507724649
"2018-08-24",0.00310918828926655
"2018-08-27",0.00823463160187583
"2018-08-28",0.0080755941261302
"2018-08-29",0.0149294449011759
"2018-08-30",0.00919366327372256
"2018-08-31",0.0115540417346756
"2018-09-04",0.00320694101816674
"2018-09-05",-0.00652481167225088
"2018-09-06",-0.0166173979948295
"2018-09-07",-0.00806814411291411
